Predicted Demand,Metric Prioritization,Date,Time
74.23482808,R2,4/4/2020,0:00:00
74.22123865,R2,4/4/2020,1:00:00
74.30299189,R2,4/4/2020,2:00:00
74.54323056,R2,4/4/2020,3:00:00
75.63766817,R2,4/4/2020,4:00:00
77.29830781,R2,4/4/2020,5:00:00
78.39075522,R2,4/4/2020,6:00:00
76.06370971,R2,4/4/2020,7:00:00
79.50833551,R2,4/4/2020,8:00:00
79.12018034,R2,4/4/2020,9:00:00
78.47685417,R2,4/4/2020,10:00:00
77.76293882,R2,4/4/2020,11:00:00
78.59280628,R2,4/4/2020,12:00:00
78.26291742,R2,4/4/2020,13:00:00
78.08893514,R2,4/4/2020,14:00:00
78.33686342,R2,4/4/2020,15:00:00
80.88481144,R2,4/4/2020,16:00:00
80.55133254,R2,4/4/2020,17:00:00
80.09335919,R2,4/4/2020,18:00:00
79.87322328,R2,4/4/2020,19:00:00
78.30532764,R2,4/4/2020,20:00:00
77.4150514,R2,4/4/2020,21:00:00
76.61445081,R2,4/4/2020,22:00:00
73.57782109,R2,4/4/2020,23:00:00
