Predicted Demand,Metric Prioritization,Date,Time
3948.285361,R2,4/4/2020,0:00:00
3784.218469,R2,4/4/2020,1:00:00
3716.979628,R2,4/4/2020,2:00:00
3701.763681,R2,4/4/2020,3:00:00
3651.828025,R2,4/4/2020,4:00:00
3794.850601,R2,4/4/2020,5:00:00
3847.974284,R2,4/4/2020,6:00:00
4086.676427,R2,4/4/2020,7:00:00
4371.912979,R2,4/4/2020,8:00:00
4567.543894,R2,4/4/2020,9:00:00
4752.334008,R2,4/4/2020,10:00:00
4782.013576,R2,4/4/2020,11:00:00
4101.766956,NMAE,4/4/2020,0:00:00
3943.427671,NMAE,4/4/2020,1:00:00
3865.066889,NMAE,4/4/2020,2:00:00
3881.536043,NMAE,4/4/2020,3:00:00
3849.756036,NMAE,4/4/2020,4:00:00
3831.449631,NMAE,4/4/2020,5:00:00
3923.680513,NMAE,4/4/2020,6:00:00
3986.675521,NMAE,4/4/2020,7:00:00
4015.378741,NMAE,4/4/2020,8:00:00
4237.571382,NMAE,4/4/2020,9:00:00
4479.950354,NMAE,4/4/2020,10:00:00
4445.235667,NMAE,4/4/2020,11:00:00
3845.935215,NRMS,4/4/2020,0:00:00
3825.023089,NRMS,4/4/2020,1:00:00
3595.06058,NRMS,4/4/2020,2:00:00
3576.583957,NRMS,4/4/2020,3:00:00
3651.060169,NRMS,4/4/2020,4:00:00
3731.23834,NRMS,4/4/2020,5:00:00
4006.613283,NRMS,4/4/2020,6:00:00
4174.028913,NRMS,4/4/2020,7:00:00
4378.482763,NRMS,4/4/2020,8:00:00
4656.293724,NRMS,4/4/2020,9:00:00
4918.943741,NRMS,4/4/2020,10:00:00
4890.882551,NRMS,4/4/2020,11:00:00
