Year,Month,Day,Hour,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends,Price_Tor,Price_Ott,Price_Bruce,"
",
2016,1,2,8,4740,816,70,-52,0,-0.25,-0.25,-0.24,,
2016,1,2,9,4951,837,71,56,0,1.92,1.92,1.86,,
2016,1,2,10,5239,893,76,-8,0,3.95,3.95,3.84,,
2016,1,2,11,5483,910,80,28,0,7.17,7.17,6.96,,
2016,1,2,12,5692,933,77,25,0,5.5,5.5,5.33,,
2016,1,2,13,5786,947,77,-84,0,10.9,10.9,10.58,,
2016,1,2,14,5772,934,70,14,0,0,0,0,,
2016,1,2,15,5739,938,73,78,0,0,0,0,,
2016,1,2,16,5737,963,72,123,0,0,0,0,,
2016,1,2,17,5897,1035,72,111,0,0.08,0.08,0.08,,
2016,1,2,18,6236,1116,71,148,0,3.39,3.39,3.29,,
2016,1,2,19,6216,1094,73,78,0,2.88,2.88,2.8,,
2016,1,2,20,6064,1071,69,49,0,0.49,0.49,0.47,,
2016,1,2,21,5905,1037,65,145,0,0,0,0,,
2016,1,2,22,5723,981,64,47,0,0,0,0,,
2016,1,2,23,5463,919,67,44,0,0,0,0,,
2016,1,2,24,5149,841,52,2,0,0,0,0,,
2016,1,3,1,4847,769,64,13,0,0,0,0,,
2016,1,3,2,4619,703,50,19,0,0,0,0,,
2016,1,3,3,4439,680,54,-4,0,0,0,0,,
2016,1,3,4,4342,667,50,-36,0,0,0,0,,
2016,1,3,5,4329,661,41,-39,0,0,0,0,,
2016,1,3,6,4384,676,42,-23,0,0,0,0,,
2016,1,3,7,4496,717,49,-32,0,0,0,0,,
2016,1,3,8,4675,749,59,-62,0,0,0,0,,
2016,1,3,9,4845,814,59,-84,0,-2.27,-2.27,-2.2,,
2016,1,3,10,5062,855,62,-72,0,-0.6,-0.6,-0.58,,
2016,1,3,11,5309,905,70,-81,0,0,0,0,,
2016,1,3,12,5496,921,75,-35,0,0,0,0,,
2016,1,3,13,5553,951,75,-114,0,2.99,2.99,2.9,,
2016,1,3,14,5589,957,71,11,0,0,0,0,,
2016,1,3,15,5604,969,74,-26,0,0,0,0,,
2016,1,3,16,5664,1009,73,172,0,0,0,0,,
2016,1,3,17,5917,1090,79,-4,0,2.5,2.5,2.43,,
2016,1,3,18,6491,1218,86,-88,0,11.11,11.11,10.79,,
2016,1,3,19,6571,1198,86,-125,0,16.08,16.08,15.61,,
2016,1,3,20,6459,1176,88,-134,0,30.27,30.27,29.39,,
2016,1,3,21,6308,1139,88,-218,0,14.81,14.81,14.38,,
2016,1,3,22,6110,1104,81,-84,0,13.27,13.27,12.89,,
2016,1,3,23,5811,1025,79,-177,0,16.55,16.55,16.07,,
2016,1,3,24,5454,955,75,-115,0,8.63,8.63,8.38,,
2016,1,4,1,5156,893,71,-116,0,8.41,8.41,8.16,,
2016,1,4,2,4985,865,69,-115,0,1.47,1.47,1.43,,
2016,1,4,3,4903,848,72,-97,0,-9.6,-9.6,-9.33,,
2016,1,4,4,4897,857,71,47,0,-47.51,-47.51,-46.12,,
2016,1,4,5,4962,871,73,49,0,-7.77,-7.77,-7.55,,
2016,1,4,6,5218,918,66,-52,0,0.66,0.66,0.64,,
2016,1,4,7,5796,1094,76,28,0,1.74,1.74,1.69,,
2016,1,4,8,6501,1224,75,-53,0,8.43,8.43,8.18,,
2016,1,4,9,6678,1213,76,-112,0,6.05,6.05,5.87,,
2016,1,4,10,6759,1198,82,-48,0,8.91,8.91,8.65,,
2016,1,4,11,6825,1122,84,39,0,0,0,0,,
2016,1,4,12,6869,1018,130,120,0,0,0,0,,
