Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2018,8,16,8,1.38006176741197,1.57443681078247,0.387997491415285,-1.14260624416391,1.79434726443311,1.17474603652954
2015,1,23,15,-0.670951478049787,-0.784314709807868,-0.474100574966962,1.34466817891188,0.79120771973473,0.692488729953766
2017,12,29,17,-1.61689293177568,-1.51151873591872,0.326419058102267,0.371386882925702,0.887263530036549,0.915835082530975
2019,1,10,7,-1.35167570175908,-1.3623486792806,-0.104629975088857,2.10166474245668,0.524826142712158,0.207840502262115
2014,12,4,6,-1.21022651241689,-0.989423537685289,0.75746809129339,-0.493752046839788,0.118817047621994,-0.194893777370453
2013,5,25,10,0.186584232337242,-0.290188897194082,-1.39777707466223,1.77723764379462,-0.427809831621349,-0.0289151072502136
2015,7,26,21,1.45078636208307,1.10828038378833,-1.02830647478412,-1.25074861038459,1.14671324446002,1.11474657058716
2016,11,27,0,-0.502980565705936,-0.196957611795255,1.00378182454546,0.15510215048433,-1.13585008281517,-1.19316744804382
2013,7,8,18,1.07948224005982,1.611729324942,1.61956615767564,-0.385609680619102,-1.05662879596831,0.860519826412201
2017,11,26,20,-0.653270329382013,-0.700406552948924,-0.289365275027909,2.10166474245668,-0.149545061571749,0.0868274569511414
2013,12,26,14,-0.874284687729185,-0.644467781709627,0.75746809129339,0.371386882925702,-0.382257591684404,0.764258325099945
2017,4,17,21,-0.54718343737537,-0.467328339451855,0.141683758163214,1.23652581269119,-0.414936372508734,-0.0589268803596497
2013,3,2,8,-1.46660316809961,-1.31573303658119,0.51115435804132,0.263244516705016,-0.0515087190987579,0.53950446844101
2014,6,19,4,0.734699841038229,1.10828038378833,1.06536025785848,-0.385609680619102,-1.03880400642777,-1.13202095031738
2016,1,27,8,-1.01573387707138,-1.01739292330494,-0.104629975088857,0.479529249146388,0.729811222428412,0.328705072402954
2013,8,10,1,0.911511327715967,0.781970884892434,-0.53567900827998,0.263244516705016,-1.09623943939174,-1.24513816833496
2018,9,25,12,0.964554773719288,1.49052865392352,1.61956615767564,-0.493752046839788,0.639697008640107,0.537366330623627
2018,10,17,2,-0.105154720681026,-0.318158282813731,-0.720414308219033,-0.277467314398415,-1.57453795872967,-1.6481602191925
2018,5,7,21,0.336873996013319,-0.5512364963108,-2.19829670773146,-1.46703334282596,-0.50009925586911,-0.71050626039505
