Instance,Toronto,Wind Speed,Scored Labels,,Plot_Tor,Plot_Scor
12522,6006,0.479529249,5959.098633,,6006,5959.098633
10750,4306,0.803956348,4419.287109,,4306,
13449,7694,-0.601894413,7044.804199,,,
11966,6675,1.669095278,6120.078125,,,
12572,5735,-0.601894413,5609.489258,,,
11956,4548,-0.601894413,5296.145508,,,
13417,5952,-1.467033343,5974.386719,,,
10000,4404,-0.601894413,4221.76123,,,
4306,6028,0.479529249,5954.270996,,,
14368,6147,1.236525813,5993.455078,,,
7410,4334,-0.710036779,4434.422852,,,
15703,5948,-0.818179146,5605.525879,,,
4049,6310,0.587671615,6269.058105,,,
16586,4512,-1.034463878,4531.07959,,,
5145,5377,-0.061182582,5246.929199,,,
9039,6140,1.128383446,5797.445313,,,
16790,5252,-0.169324948,5347.530762,,,
16730,6025,1.344668179,5633.351563,,,
14270,6598,-0.169324948,6325.444336,,,
17775,5505,0.912098714,6390.299805,,,
36,5305,0.587671615,5115.408203,,,
15085,6323,0.803956348,6086.062012,,,
13388,4503,-1.358890977,4615.411621,,,
10326,5760,-0.710036779,5549.665527,,,
14487,8705,-0.061182582,8448.78125,,,
5434,4721,-0.493752047,5933.11084,,,
8374,5191,-0.601894413,5406.194336,,,
6325,5117,-0.493752047,5465.464844,,,
15989,7468,-0.818179146,6958.198242,,,
4002,4706,0.15510215,5245.283203,,,
18184,5562,0.803956348,5923.022949,,,
15308,4559,-1.358890977,4723.044922,,,
17266,7931,-1.034463878,8519.395508,,,
8169,5761,2.75051894,6280.766602,,,
5156,6097,-1.575175709,6293.746582,,,
18483,5144,-1.791460441,5060.009277,,,
10317,5328,-0.710036779,5315.345703,,,
16657,7425,1.88538001,7180.388672,,,
12770,6596,0.046959784,6599.423828,,,
13686,6572,-1.358890977,6144.780762,,,
13157,6918,-0.926321512,6799.464844,,,
8375,4058,-0.061182582,4237.857422,,,
6204,5468,0.15510215,5670.726563,,,
3935,7069,0.263244517,6765.884766,,,
16706,5680,-0.061182582,6259.01416,,,
17919,6880,2.858661306,6570.054199,,,
13564,6548,-0.061182582,6307.438965,,,
