Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Holiday & Weekends,Scored Labels,Diff,Abs Diff
-0.525406859,0.739190679,0.48961983,0.938893565,0.575569503,0.530246414,-0.289365275,-0.710036779,5634,0,6063.717773,-429.7177734,429.7177734
-0.525406859,1.312472019,-1.10271388,-0.794439874,0.655134672,1.07098787,1.250095558,-0.061182582,5012,0,5293.408691,-281.4086914,281.4086914
0.933078121,-0.120731331,0.48961983,-0.794439874,0.672815821,0.586185186,-0.412522142,-0.493752047,5737,0,5277.561035,459.4389648,459.4389648
0.933078121,0.165909339,0.48961983,0.650004658,1.786728187,1.201511669,-1.520933941,0.912098714,8088,0,7959.929199,128.0708008,128.0708008
0.446916461,-1.267294011,-0.875237636,1.372226924,-1.298632256,-1.380994936,-0.350943708,0.695813982,6595,0,6474.794922,120.2050781,120.2050781
-1.01156852,-0.694012671,-1.330190124,-0.649995421,-0.591386309,-0.569882753,-0.043051542,0.912098714,6399,0,5732.253418,666.746582,666.746582
0.446916461,1.599112689,-0.192808903,1.083338018,-1.696458101,-1.632719407,0.141683758,-0.277467314,6849,0,6915.061035,-66.06103516,66.06103516
-1.49773018,1.599112689,0.48961983,-0.072217608,-0.768197796,-0.327481411,1.619566158,0.046959784,7021,0,6753.42041,267.5795898,267.5795898
1.419239782,-0.407372001,0.830834197,1.372226924,0.681656395,0.511600157,-0.658835875,0.15510215,5399,0,5292.191406,106.8085938,106.8085938
0.446916461,0.739190679,-0.647761391,-0.938884327,-0.016748977,0.24122943,0.757468091,-0.818179146,3830,0,4564.172852,-734.1728516,734.1728516
0.933078121,-0.694012671,-0.761499513,1.372226924,-0.71515435,-0.821607224,-0.474100575,-0.061182582,5732,0,5771.955078,-39.95507813,39.95507813
-0.525406859,-0.694012671,0.717096075,1.083338018,-0.494139991,-0.551236496,-0.289365275,1.993522376,6494,0,6274.766602,219.2333984,219.2333984
-0.039245199,1.312472019,1.627001052,0.361115752,0.195424807,0.679416471,1.619566158,-0.710036779,6269,0,6031.94873,237.0512695,237.0512695
0.933078121,0.452550009,0.034667342,1.372226924,1.40658349,1.826161281,1.126938691,-0.926321512,7449,0,7377.482422,71.51757813,71.51757813
1.419239782,-0.980653341,-0.420285147,1.227782471,-0.741676073,-0.942807895,-0.720414308,-1.142606244,6167,0,6164.374512,2.625488281,2.625488281
0.446916461,0.452550009,0.034667342,-0.938884327,0.690496969,1.033695355,0.942203391,-0.385609681,5125,0,4854.580566,270.4194336,270.4194336
-0.039245199,-0.407372001,0.944572319,-0.505550967,0.929192476,0.213260044,-1.828826108,-1.142606244,6101,0,5596.565918,504.434082,504.434082
