Year,Month,Day,Hour,Ottawa,Holiday & Weekends,Temperature,Dew Point,Relative Humidity,Wind Speed,Scored Labels,Abs Diff,Diff
-1.012611372,1.034489195,-0.421575576,0.937811952,838,0,0.174734676,0.184220312,-0.089613174,-0.929443345,875.918457,37.91845703,37.91845703
-0.042157467,-0.113858421,0.830446558,1.082228749,986,0,1.076072373,0.34920355,-2.097301682,-0.631333886,898.0852661,87.91473389,-87.91473389
1.898750343,-1.262206037,0.147525394,1.659895939,1016,1,-0.9087883,-1.145350488,-1.026534478,0.113939762,975.1512451,40.84875488,-40.84875488
0.928296438,0.460315387,1.058086946,1.082228749,1177,0,1.36373334,1.698184143,1.248845831,-0.035114968,1196.754028,19.75402832,19.75402832
0.928296438,1.608663003,0.716626364,1.371062344,1131,0,-1.129328374,-1.028891731,0.178078627,-1.227552804,1175.113525,44.11352539,44.11352539
0.443069485,0.460315387,0.375165782,0.071311168,922,0,1.181548061,1.2808736,0.378847478,0.412049221,903.3410034,18.65899658,-18.65899658
-1.497838325,1.608663003,1.058086946,0.50456156,1294,1,-0.985497891,-0.863908494,0.311924528,1.306377598,1154.952759,139.0472412,-139.0472412
-1.497838325,0.460315387,-1.445957322,0.793395154,911,0,1.124015868,1.028546294,-0.357304975,1.753541787,972.190918,61.19091797,61.19091797
-0.52738442,0.747402291,1.513367722,0.360144762,869,0,0.922653191,0.892677746,-0.156536124,-0.035114968,825.2713013,43.72869873,-43.72869873
0.443069485,-0.113858421,-1.218316934,-0.07310563,879,0,0.884298395,0.96061202,0.245001577,-0.482279156,870.8729858,8.12701416,-8.12701416
-1.497838325,-0.113858421,0.830446558,0.360144762,1030,0,1.210314158,1.484676423,0.98115403,-0.184169697,1086.616089,56.61608887,56.61608887
-0.52738442,1.034489195,-0.421575576,0.793395154,742,1,0.970596685,0.912087538,-0.223459074,0.561103951,799.4925537,57.49255371,57.49255371
-1.497838325,1.034489195,1.17190714,0.50456156,872,0,0.165145978,-0.068106993,-0.892688577,2.349760705,875.4872437,3.487243652,3.487243652
-1.012611372,-0.400945325,-0.421575576,-0.217522427,808,0,0.155557279,0.077466452,-0.357304975,0.113939762,831.6339722,23.63397217,23.63397217
1.41352339,0.747402291,0.375165782,-0.795189616,904,0,1.01854018,1.17411974,0.579616329,-0.333224427,927.6221924,23.62219238,23.62219238
0.928296438,0.460315387,0.147525394,-0.361939224,1114,0,1.622628211,1.824347795,0.713462229,-0.333224427,1231.37915,117.3791504,117.3791504
-1.012611372,0.460315387,0.0337052,0.50456156,868,0,0.807588804,1.164414843,1.382691732,-0.035114968,919.25177,51.25177002,51.25177002
-1.497838325,-1.262206037,-1.67359771,-1.517273603,901,0,-1.858069491,-1.708234476,0.445770428,0.113939762,997.2119751,96.2119751,96.2119751
0.928296438,0.747402291,1.058086946,0.215727965,1001,0,1.056894975,1.426447045,1.382691732,-0.184169697,1007.283752,6.283752441,6.283752441
-0.52738442,1.608663003,0.830446558,0.50456156,931,0,0.500750439,0.698579819,0.713462229,1.306377598,1001.544006,70.54400635,70.54400635
0.928296438,-0.975119133,-1.332137128,-0.07310563,1035,0,-1.023852686,-1.339448415,-1.361149229,0.412049221,1045.834839,10.83483887,10.83483887
0.928296438,-0.400945325,-1.559777516,0.360144762,1058,0,1.028128879,0.980021813,-0.223459074,1.008268139,1113.196289,55.19628906,55.19628906
0.928296438,0.460315387,-0.421575576,-0.361939224,1047,0,1.574684716,1.610840075,0.111155677,-0.482279156,1200.739746,153.7397461,153.7397461
-0.042157467,1.608663003,-0.990676546,0.360144762,930,0,-0.448530752,-0.757154634,-1.227303328,1.455432328,965.9349976,35.93499756,35.93499756
-1.497838325,-0.688032229,0.716626364,1.082228749,987,0,0.328153859,-0.398073469,-2.231147582,-0.780388615,887.9351196,99.06488037,-99.06488037
-1.012611372,1.321576099,0.488985976,0.071311168,899,0,-0.966320493,-1.349153311,-1.56191808,2.796924893,944.8781128,45.87811279,45.87811279
-0.52738442,-0.688032229,0.830446558,1.371062344,806,0,-0.659482128,-0.747449737,-0.491150876,0.561103951,887.5214844,81.52148438,81.52148438
