Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 0:00,2009,1,1,0:00,-11.7,,-15.4,,74,,32,,9,,,,99.91,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 1:00,2009,1,1,1:00,-12.4,,-15.2,,80,,33,,6,,,,99.93,,,,-16,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 2:00,2009,1,1,2:00,-13.8,,-16.1,,83,,33,,4,,,,99.96,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 3:00,2009,1,1,3:00,-15.6,,-17.2,,87,,32,,4,,,,99.98,,,,-19,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 4:00,2009,1,1,4:00,-17.3,,-18.7,,89,,26,,2,,,,100.01,,,,-19,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 5:00,2009,1,1,5:00,-17.1,,-18.4,,90,,10,,2,,,,99.92,,,,-19,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 6:00,2009,1,1,6:00,-16.2,,-17.6,,89,,11,,7,,,,99.89,,,,-21,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 7:00,2009,1,1,7:00,-12.7,,-15.3,,81,,11,,9,,,,99.87,,,,-18,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 8:00,2009,1,1,8:00,-11.7,,-14.7,,78,,13,,11,,,,99.84,,,,-18,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 9:00,2009,1,1,9:00,-10.8,,-13.9,,78,,12,,13,,,,99.83,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 10:00,2009,1,1,10:00,-9.9,,-11.8,,86,,12,,17,,,,99.8,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 11:00,2009,1,1,11:00,-8.2,,-9.6,,90,,15,,15,,,,99.71,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 12:00,2009,1,1,12:00,-4.6,,-8.9,,72,,21,,17,,,,99.61,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 13:00,2009,1,1,13:00,-4.5,,-8.7,,72,,20,,20,,,,99.45,,,,-11,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 14:00,2009,1,1,14:00,-3.7,,-8,,72,,17,,20,,,,99.23,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 15:00,2009,1,1,15:00,-4.7,,-7.5,,81,,17,,26,,,,99.17,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 16:00,2009,1,1,16:00,-4.5,,-6.9,,83,,16,,24,,,,99.05,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 17:00,2009,1,1,17:00,-4.5,,-6.9,,83,,16,,22,,,,98.94,,,,-11,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 18:00,2009,1,1,18:00,-4.4,,-7.3,,80,,16,,24,,,,98.78,,,,-11,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 19:00,2009,1,1,19:00,-3.9,,-7.2,,78,,16,,22,,,,98.68,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 20:00,2009,1,1,20:00,-3.5,,-7.4,,74,,17,,22,,,,98.54,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 21:00,2009,1,1,21:00,-3.4,,-7.4,,74,,18,,26,,,,98.4,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 22:00,2009,1,1,22:00,-3.2,,-7.1,,74,,18,,24,,,,98.3,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2009 23:00,2009,1,1,23:00,-2.7,,-6.4,,76,,18,,26,,,,98.16,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2009 0:00,2009,1,2,0:00,-2.8,,-3.5,,95,,19,,22,,,,98.06,,,,-9,,NA
