Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 0:00,2015,1,1,0:00,-7.5,,-15.5,,53,,25,,27,,24.1,,99.45,,,,-16,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 1:00,2015,1,1,1:00,-7.6,,-16.1,,51,,24,,27,,24.1,,99.37,,,,-16,,Mainly Clear
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 2:00,2015,1,1,2:00,-7.9,,-15.5,,55,,23,,28,,24.1,,99.31,,,,-17,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 3:00,2015,1,1,3:00,-7.8,,-14.9,,57,,24,,24,,24.1,,99.31,,,,-16,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 4:00,2015,1,1,4:00,-7.6,,-14.1,,60,,24,,31,,24.1,,99.23,,,,-17,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 5:00,2015,1,1,5:00,-7,,-13.3,,61,,24,,34,,24.1,,99.18,,,,-16,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 6:00,2015,1,1,6:00,-6.7,,-12.8,,62,,22,,27,,24.1,,99.22,,,,-15,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 7:00,2015,1,1,7:00,-6.5,,-12.6,,62,,23,,28,,24.1,,99.23,,,,-15,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 8:00,2015,1,1,8:00,-6.5,,-12.4,,63,,21,,27,,24.1,,99.13,,,,-15,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 9:00,2015,1,1,9:00,-6.2,,-12.6,,61,,23,,32,,24.1,,99.17,,,,-15,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 10:00,2015,1,1,10:00,-5.8,,-12.2,,61,,23,,34,,24.1,,99.09,,,,-15,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 11:00,2015,1,1,11:00,-4.8,,-11.9,,58,,25,,33,,24.1,,98.99,,,,-13,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 12:00,2015,1,1,12:00,-4.4,,-11.5,,58,,24,,36,,24.1,,98.9,,,,-13,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 13:00,2015,1,1,13:00,-4.2,,-11.3,,58,,24,,32,,24.1,,98.83,,,,-12,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 14:00,2015,1,1,14:00,-3.5,,-11.3,,55,,25,,31,,24.1,,98.82,,,,-11,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 15:00,2015,1,1,15:00,-3.8,,-11.6,,55,,25,,34,,24.1,,98.87,,,,-12,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 16:00,2015,1,1,16:00,-3.7,,-11.5,,55,,25,,30,,24.1,,98.89,,,,-11,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 17:00,2015,1,1,17:00,-3.5,,-11.5,,54,,24,,22,,24.1,,98.96,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 18:00,2015,1,1,18:00,-3.2,,-11.7,,52,,23,,28,,24.1,,98.96,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 19:00,2015,1,1,19:00,-2.7,,-11.3,,52,,23,,20,,24.1,,99.01,,,,-9,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 20:00,2015,1,1,20:00,-2.5,,-10.1,,56,,24,,33,,24.1,,99.09,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 21:00,2015,1,1,21:00,-2.2,,-9.6,,57,,24,,30,,24.1,,99.17,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 22:00,2015,1,1,22:00,-2.1,,-8,,64,,25,,27,,24.1,,99.2,,,,-9,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,01/01/2015 23:00,2015,1,1,23:00,-2,,-7.5,,66,,24,,28,,24.1,,99.26,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 0:00,2015,1,2,0:00,-1.9,,-6.9,,69,,24,,29,,24.1,,99.31,,,,-9,,Snow
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 1:00,2015,1,2,1:00,-2,,-6.2,,73,,27,,22,,12.9,,99.36,,,,-8,,Snow
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 2:00,2015,1,2,2:00,-2.6,,-5.1,,83,,24,,18,,19.3,,99.43,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 3:00,2015,1,2,3:00,-2.7,,-5.5,,81,,24,,17,,24.1,,99.53,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 4:00,2015,1,2,4:00,-3,,-6,,80,,30,,26,,14.5,,99.59,,,,-10,,Snow Showers
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 5:00,2015,1,2,5:00,-3.4,,-8.1,,70,,31,,22,,24.1,,99.68,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 6:00,2015,1,2,6:00,-3.7,,-8.6,,69,,29,,15,,24.1,,99.76,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 7:00,2015,1,2,7:00,-3.5,,-8.2,,70,,28,,13,,24.1,,99.9,,,,-8,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 8:00,2015,1,2,8:00,-4.1,,-9.2,,68,,29,,19,,24.1,,100.01,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 9:00,2015,1,2,9:00,-4.1,,-9,,69,,29,,17,,24.1,,100.14,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 10:00,2015,1,2,10:00,-3.3,,-8.6,,67,,28,,20,,24.1,,100.17,,,,-9,,Mainly Clear
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 11:00,2015,1,2,11:00,-2.2,,-9.6,,57,,31,,31,,24.1,,100.24,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 12:00,2015,1,2,12:00,-2,,-10.9,,51,,29,,36,,24.1,,100.22,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 13:00,2015,1,2,13:00,-2.5,,-11.3,,51,,30,,30,,24.1,,100.25,,,,-10,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 14:00,2015,1,2,14:00,-1.6,,-10.2,,52,,30,,25,,24.1,,100.3,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 15:00,2015,1,2,15:00,-2.3,,-11.4,,50,,27,,28,,24.1,,100.34,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 16:00,2015,1,2,16:00,-2.1,,-11.5,,49,,27,,27,,24.1,,100.43,,,,-9,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 17:00,2015,1,2,17:00,-3.3,,-11.1,,55,,29,,25,,24.1,,100.53,,,,-10,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 18:00,2015,1,2,18:00,-4.1,,-11.2,,58,,29,,15,,24.1,,100.6,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 19:00,2015,1,2,19:00,-4.6,,-11.2,,60,,31,,9,,24.1,,100.64,,,,-8,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 20:00,2015,1,2,20:00,-5.4,,-11.8,,61,,27,,7,,24.1,,100.75,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 21:00,2015,1,2,21:00,-5.6,,-11.2,,65,,22,,4,,24.1,,100.8,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 22:00,2015,1,2,22:00,-4.6,,-11,,61,,21,,3,,24.1,,100.82,,,,-6,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,02/01/2015 23:00,2015,1,2,23:00,-5.2,,-10.8,,65,,23,,3,,24.1,,100.89,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 0:00,2015,1,3,0:00,-5.3,,-10.5,,67,,7,,5,,24.1,,100.88,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 1:00,2015,1,3,1:00,-5.7,,-10.7,,68,,7,,5,,24.1,,100.86,,,,-8,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 2:00,2015,1,3,2:00,-5.3,,-10,,70,,10,,7,,24.1,,100.87,,,,-9,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 3:00,2015,1,3,3:00,-4.9,,-8.2,,78,,7,,7,,24.1,,100.85,,,,-8,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 4:00,2015,1,3,4:00,-4.4,,-7.2,,81,,7,,10,,24.1,,100.82,,,,-9,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 5:00,2015,1,3,5:00,-2.1,,-5.1,,80,,13,,15,,24.1,,100.75,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 6:00,2015,1,3,6:00,-2.2,,-6.6,,72,,11,,14,,24.1,,100.61,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 7:00,2015,1,3,7:00,-1.8,,-5.5,,76,,10,,18,,24.1,,100.59,,,,-7,,Mostly Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 8:00,2015,1,3,8:00,-1.4,,-4.8,,78,,12,,21,,16.1,,100.55,,,,-7,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 9:00,2015,1,3,9:00,-1.2,,-4.4,,79,,10,,16,,16.1,,100.52,,,,-6,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 10:00,2015,1,3,10:00,-0.7,,-4.6,,75,,10,,24,,16.1,,100.45,,,,-7,,Cloudy
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 11:00,2015,1,3,11:00,0.1,,-4.2,,73,,10,,15,,16.1,,100.43,,,,,,NA
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 12:00,2015,1,3,12:00,0,,-4.5,,72,,12,,26,,9.7,,100.18,,,,-6,,Snow
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 13:00,2015,1,3,13:00,-1,,-2.6,,89,,11,,18,,1,,100.01,,,,-6,,Snow
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 14:00,2015,1,3,14:00,-1,,-1.8,,94,,11,,22,,1,,99.79,,,,-7,,Snow
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 15:00,2015,1,3,15:00,-0.7,,-1.6,,94,,11,,29,,4.8,,99.58,,,,-7,,"Snow,Ice Pellets"
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 16:00,2015,1,3,16:00,-0.1,,-1,,94,,11,,19,,6.4,,99.52,,,,-5,,"Freezing Rain,Fog"
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 17:00,2015,1,3,17:00,0.3,,-0.4,,95,,12,,22,,6.4,,99.38,,,,,,"Rain,Fog"
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 18:00,2015,1,3,18:00,0.4,,-0.3,,95,,11,,24,,9.7,,99.25,,,,,,"Rain,Fog"
-79.63,43.68,TORONTO INTL A,6158731,03/01/2015 19:00,2015,1,3,19:00,0.8,,0.1,,95,,11,,21,,9.7,,99.11,,,,,,"Rain,Fog"
