\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2020-02-26 08:02:13,,,,,,,,
\\For 2020,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2020-01-01,1,0.00,0.00,0.00,0.00,1.03,0.20,0.20
2020-01-01,2,0.00,0.00,0.00,0.00,1.04,0.20,0.20
2020-01-01,3,0.00,0.00,0.00,0.00,1.05,0.20,0.20
2020-01-01,4,0.00,0.00,0.00,-0.02,1.06,0.18,0.18
2020-01-01,5,0.00,0.00,0.00,-0.10,1.07,0.20,0.20
2020-01-01,6,0.00,0.00,0.00,0.00,1.34,0.20,0.20
2020-01-01,7,0.00,0.00,0.00,0.00,1.45,0.20,0.20
2020-01-01,8,-0.04,0.00,0.00,0.00,1.55,0.20,0.20
2020-01-01,9,0.00,0.00,0.00,0.00,1.56,0.20,0.20
2020-01-01,10,0.00,0.00,0.00,0.00,1.27,0.20,0.20
2020-01-01,11,0.00,0.00,0.00,0.00,1.27,0.20,0.20
2020-01-01,12,0.00,0.00,0.00,0.00,1.27,0.20,0.20
2020-01-01,13,2.92,0.00,0.00,0.00,1.27,0.20,0.20
2020-01-01,14,1.80,0.00,0.00,0.00,1.27,0.20,0.20
2020-01-01,15,0.00,0.05,0.05,0.00,1.27,0.20,0.20
2020-01-01,16,0.00,5.85,5.83,5.76,1.27,0.20,0.20
2020-01-01,17,1.39,12.00,14.32,14.36,4.75,0.20,0.20
2020-01-01,18,5.44,14.33,14.32,14.35,4.75,4.75,4.75
2020-01-01,19,1.72,13.79,14.32,5.92,4.75,0.45,0.45
2020-01-01,20,0.00,5.81,5.88,5.85,4.75,0.20,0.20
2020-01-01,21,0.00,1.00,1.00,1.00,1.28,0.20,0.20
2020-01-01,22,0.00,0.00,0.00,0.00,1.55,0.20,0.20
2020-01-01,23,0.00,0.00,0.00,0.00,1.55,0.20,0.20
2020-01-01,24,0.00,0.00,0.00,0.00,1.00,0.20,0.20
2020-01-02,1,-0.04,0.00,0.00,0.00,1.06,0.20,0.20
2020-01-02,2,-0.12,0.00,0.00,-0.10,1.07,0.18,0.18
2020-01-02,3,-2.86,-0.10,-0.10,-0.13,1.08,0.18,0.18
2020-01-02,4,-3.00,-0.13,-0.13,-0.13,1.09,0.17,0.17
2020-01-02,5,-0.10,-0.10,-0.10,-0.02,1.10,0.20,0.20
2020-01-02,6,-0.03,0.00,0.00,0.00,1.11,0.20,0.20
2020-01-02,7,0.00,0.00,0.00,0.00,1.27,0.20,0.20
2020-01-02,8,1.73,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,9,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,10,0.39,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,11,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,12,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,13,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,14,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,15,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,16,0.00,0.00,0.00,0.00,4.75,0.20,0.20
2020-01-02,17,0.00,5.22,5.57,0.05,4.75,0.20,0.20
2020-01-02,18,0.00,0.50,5.76,0.05,15.60,4.76,4.76
2020-01-02,19,1.60,1.00,1.00,5.74,10.48,0.45,0.45
2020-01-02,20,2.67,0.50,0.50,0.05,4.75,0.45,0.45
2020-01-02,21,0.00,0.50,0.50,0.50,2.66,0.20,0.20
2020-01-02,22,0.00,0.05,0.00,0.05,1.20,0.20,0.20
2020-01-02,23,0.00,0.00,0.01,0.00,1.00,0.20,0.20
2020-01-02,24,0.00,0.00,0.00,0.00,1.00,0.20,0.20
2020-01-03,1,-0.04,0.00,0.00,0.00,1.00,0.20,0.20
2020-01-03,2,-0.01,0.00,0.00,0.00,1.00,0.20,0.20
2020-01-03,3,0.00,0.00,-0.02,0.00,1.00,0.20,0.20
2020-01-03,4,-0.04,0.00,0.00,-0.02,1.01,0.20,0.20
2020-01-03,5,0.00,0.00,0.00,0.00,1.02,0.20,0.20
2020-01-03,6,4.30,0.01,0.01,0.01,1.00,0.20,0.20
2020-01-03,7,3.18,5.88,5.83,5.83,1.16,0.20,0.20
2020-01-03,8,10.17,5.96,5.94,5.74,1.31,0.20,0.20
2020-01-03,9,14.37,14.32,5.92,7.67,1.79,0.20,0.20
2020-01-03,10,22.13,14.34,13.49,5.90,1.38,0.20,0.20
2020-01-03,11,86.16,14.92,14.37,6.57,1.82,0.50,0.50
2020-01-03,12,30.77,20.37,17.20,14.33,1.28,0.20,0.20
2020-01-03,13,21.43,21.46,20.67,20.00,1.26,0.20,0.20
2020-01-03,14,19.76,18.50,18.50,21.42,1.20,0.20,0.20
2020-01-03,15,21.42,18.50,18.50,18.51,1.20,0.20,0.20
2020-01-03,16,19.51,18.50,18.50,18.51,1.23,0.21,0.21
2020-01-03,17,19.66,18.50,18.50,18.51,1.00,0.45,0.45
2020-01-03,18,20.18,18.50,18.50,18.51,6.04,6.04,1.01
2020-01-03,19,18.76,18.51,18.50,18.51,7.90,7.90,2.96
2020-01-03,20,20.15,19.66,19.66,20.70,6.51,6.51,1.04
2020-01-03,21,19.73,18.50,18.50,18.51,0.86,0.86,0.86
2020-01-03,22,17.04,18.50,14.95,14.39,0.45,0.43,0.43
2020-01-03,23,15.73,14.95,14.39,13.56,0.55,0.24,0.24
2020-01-03,24,13.71,13.17,14.32,14.37,1.00,0.20,0.20
2020-01-04,1,16.93,14.93,14.38,13.85,1.23,0.16,0.16
2020-01-04,2,15.17,14.93,14.40,10.12,1.23,0.16,0.16
2020-01-04,3,14.36,14.35,14.34,10.53,1.23,0.15,0.15
2020-01-04,4,14.38,14.37,14.37,14.36,1.22,0.15,0.15
2020-01-04,5,14.49,14.37,14.38,14.32,1.23,0.15,0.15
2020-01-04,6,24.84,18.37,17.76,14.34,1.21,0.15,0.15
2020-01-04,7,16.96,18.00,17.47,14.93,1.21,0.17,0.17
2020-01-04,8,16.73,18.00,17.00,14.93,1.20,0.20,0.20
2020-01-04,9,15.41,18.50,16.65,16.65,1.20,0.20,0.20
2020-01-04,10,19.95,16.02,16.03,15.15,1.21,0.22,0.22
2020-01-04,11,22.00,18.50,18.50,20.00,1.21,0.37,0.37
2020-01-04,12,16.98,18.52,18.52,18.51,1.28,0.20,0.20
2020-01-04,13,20.61,18.51,18.51,18.50,1.55,0.20,0.20
2020-01-04,14,20.89,18.50,18.50,18.50,1.29,0.20,0.20
2020-01-04,15,13.33,13.34,13.32,18.51,1.24,0.20,0.20
2020-01-04,16,13.33,13.33,13.33,16.51,1.24,0.20,0.20
2020-01-04,17,4.80,13.37,13.37,18.51,4.41,0.40,0.40
2020-01-04,18,13.35,18.52,18.51,12.00,4.42,0.45,0.45
2020-01-04,19,9.60,18.51,18.51,18.51,4.42,0.45,0.45
2020-01-04,20,13.36,18.50,18.50,18.50,1.28,0.28,0.28
2020-01-04,21,18.69,18.50,18.50,18.50,1.55,0.20,0.20
2020-01-04,22,17.28,16.28,16.28,18.50,1.30,0.20,0.20
2020-01-04,23,7.36,13.39,13.32,13.33,1.26,0.20,0.20
2020-01-04,24,0.47,5.65,10.91,1.00,1.31,0.16,0.16
2020-01-05,1,0.00,0.00,0.01,0.01,1.55,0.15,0.15
2020-01-05,2,0.00,0.00,0.00,0.00,1.56,0.15,0.15
2020-01-05,3,0.00,0.01,0.01,0.00,1.56,0.15,0.15
2020-01-05,4,0.00,0.00,0.01,0.00,1.55,0.13,0.13
2020-01-05,5,2.13,0.00,0.00,0.01,1.28,0.13,0.13
2020-01-05,6,0.40,0.01,0.01,0.00,1.28,0.13,0.13
2020-01-05,7,0.00,9.04,13.27,6.65,1.28,0.15,0.15
2020-01-05,8,0.00,6.38,4.78,0.01,1.28,0.16,0.16
2020-01-05,9,1.83,10.20,10.20,13.32,1.28,0.20,0.20
2020-01-05,10,8.29,13.34,13.34,13.35,1.29,0.20,0.20
2020-01-05,11,5.86,13.36,13.38,13.37,1.29,0.20,0.20
2020-01-05,12,10.94,13.34,13.39,14.19,1.29,0.19,0.19
2020-01-05,13,1.41,13.34,13.34,14.78,1.30,0.20,0.20
2020-01-05,14,8.12,13.37,13.38,13.36,1.29,0.20,0.20
2020-01-05,15,10.86,13.32,13.35,13.34,1.29,0.20,0.20
2020-01-05,16,3.17,18.50,18.50,16.00,1.29,0.20,0.20
2020-01-05,17,3.66,20.18,20.19,19.35,11.36,0.45,0.45
2020-01-05,18,20.07,22.97,22.97,22.97,7.73,0.45,0.45
2020-01-05,19,13.62,18.51,18.51,21.78,5.00,0.45,0.45
2020-01-05,20,10.87,18.51,18.51,18.50,6.70,0.45,0.45
2020-01-05,21,12.08,14.38,18.50,15.00,1.54,0.20,0.20
2020-01-05,22,12.74,15.00,16.00,16.00,1.28,0.20,0.20
2020-01-05,23,6.78,13.28,13.31,13.33,1.29,0.20,0.20
2020-01-05,24,3.61,0.01,0.01,0.01,1.29,0.16,0.16
2020-01-06,1,1.58,0.00,0.00,0.00,1.55,0.15,0.15
2020-01-06,2,0.00,0.00,0.00,0.00,1.55,0.15,0.15
2020-01-06,3,0.00,0.00,0.00,0.00,1.55,0.15,0.15
2020-01-06,4,0.00,0.00,0.00,0.00,1.55,0.15,0.15
2020-01-06,5,0.00,0.00,0.00,0.00,1.28,0.15,0.15
2020-01-06,6,0.00,0.01,0.01,0.00,1.29,0.16,0.16
2020-01-06,7,0.86,12.22,14.34,5.88,1.28,0.20,0.20
2020-01-06,8,13.67,14.34,14.34,14.32,1.27,0.20,0.20
2020-01-06,9,12.64,14.39,14.34,14.28,4.31,0.29,0.29
2020-01-06,10,10.35,16.50,14.40,14.32,1.29,0.20,0.20
2020-01-06,11,7.61,14.36,14.40,14.34,1.27,0.20,0.20
2020-01-06,12,4.33,5.94,7.51,14.34,1.29,0.20,0.20
2020-01-06,13,0.00,6.51,6.51,14.33,1.29,0.20,0.20
2020-01-06,14,0.00,14.35,5.92,12.00,1.29,0.20,0.20
2020-01-06,15,0.00,12.00,14.37,6.57,1.29,0.20,0.20
2020-01-06,16,0.00,6.49,6.00,14.36,1.28,0.45,0.45
2020-01-06,17,6.32,14.36,14.78,14.35,3.38,0.45,0.45
2020-01-06,18,12.63,14.37,14.40,17.51,8.68,7.65,7.65
2020-01-06,19,5.35,15.60,14.39,15.27,9.99,7.28,7.28
2020-01-06,20,5.86,15.60,15.60,14.78,4.75,1.00,1.00
2020-01-06,21,0.79,14.32,14.39,15.61,2.36,0.20,0.20
2020-01-06,22,0.82,5.77,5.77,14.34,1.54,0.45,0.45
2020-01-06,23,0.00,0.00,5.76,4.58,1.29,0.20,0.20
2020-01-06,24,0.00,0.00,0.01,0.00,1.29,0.17,0.17
2020-01-07,1,0.00,0.05,0.05,0.00,1.29,0.16,0.16
2020-01-07,2,0.00,1.11,4.58,0.00,1.29,0.15,0.15
2020-01-07,3,1.85,0.06,2.09,5.57,1.29,0.16,0.16
2020-01-07,4,4.76,5.00,5.00,4.63,1.27,0.16,0.16
2020-01-07,5,5.22,8.95,10.69,11.80,1.27,0.18,0.18
2020-01-07,6,10.14,16.50,16.50,16.50,1.23,0.20,0.20
2020-01-07,7,10.27,18.00,18.00,16.51,1.22,0.20,0.20
2020-01-07,8,44.49,16.50,16.50,16.51,11.47,11.47,11.44
2020-01-07,9,19.16,16.51,16.51,16.51,2.25,2.18,2.18
2020-01-07,10,14.35,16.25,16.25,16.51,1.00,0.45,0.45
2020-01-07,11,16.47,16.20,16.20,16.25,1.00,0.22,0.22
2020-01-07,12,18.93,16.25,16.25,16.25,5.00,0.22,0.22
2020-01-07,13,12.87,16.25,16.16,16.25,1.29,0.20,0.20
2020-01-07,14,1.57,16.00,15.80,16.00,1.29,0.20,0.20
2020-01-07,15,5.33,14.37,15.30,16.00,1.28,0.45,0.45
2020-01-07,16,0.00,16.00,16.00,16.00,1.29,1.29,1.29
2020-01-07,17,0.00,16.25,16.25,16.00,20.04,20.04,20.04
2020-01-07,18,5.86,21.37,22.94,19.64,29.46,29.46,29.46
2020-01-07,19,3.44,16.25,16.25,16.00,24.00,24.00,21.15
2020-01-07,20,7.28,14.40,16.00,16.00,10.15,10.15,10.15
2020-01-07,21,3.27,5.83,14.36,14.38,2.48,0.45,0.45
2020-01-07,22,5.04,5.96,5.88,5.83,1.69,0.20,0.20
2020-01-07,23,3.03,0.01,5.00,0.00,1.20,0.19,0.19
2020-01-07,24,2.05,0.00,0.00,0.00,1.25,0.15,0.15
2020-01-08,1,0.00,0.00,0.00,0.00,1.23,0.15,0.15
2020-01-08,2,0.00,0.00,0.00,0.00,1.22,0.13,0.13
2020-01-08,3,0.00,0.00,0.00,0.00,1.23,0.13,0.13
2020-01-08,4,0.00,0.00,0.00,0.00,1.22,0.13,0.13
2020-01-08,5,0.00,0.00,0.00,0.00,1.23,0.15,0.15
2020-01-08,6,0.00,0.00,0.00,0.00,1.22,0.19,0.19
2020-01-08,7,0.87,13.33,13.31,13.30,1.21,0.20,0.20
2020-01-08,8,15.22,13.35,13.38,13.31,1.27,0.20,0.20
