Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 0:00,2003,1,1,0:00,0.3,,-5.3,,66,,31,,19,,24.1,,99.5,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 1:00,2003,1,1,1:00,0.2,,-5.3,,66,,30,,11,,24.1,,99.53,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 2:00,2003,1,1,2:00,0.1,,-5,,69,,33,,13,,24.1,,99.63,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 3:00,2003,1,1,3:00,0.1,,-5.7,,65,,34,,17,,24.1,,99.66,,,,,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 4:00,2003,1,1,4:00,-0.8,,-6.2,,67,,35,,17,,24.1,,99.75,,,,-6,,Mainly Clear
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 5:00,2003,1,1,5:00,-1.4,,-5.9,,71,,36,,9,,24.1,,99.72,,,,-5,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 6:00,2003,1,1,6:00,-1,,-6.1,,68,,36,,11,,24.1,,99.76,,,,-5,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 7:00,2003,1,1,7:00,-1.1,,-6.1,,69,,1,,15,,24.1,,99.75,,,,-6,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 8:00,2003,1,1,8:00,-1.2,,-6.4,,68,,2,,22,,24.1,,99.76,,,,-7,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 9:00,2003,1,1,9:00,-1.1,,-7.1,,64,,4,,20,,24.1,,99.76,,,,-7,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 10:00,2003,1,1,10:00,-0.9,,-6.7,,65,,5,,15,,24.1,,99.88,,,,-6,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 11:00,2003,1,1,11:00,-1.1,,-7.4,,62,,5,,19,,24.1,,99.83,,,,-6,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 12:00,2003,1,1,12:00,-0.9,,-7.4,,61,,6,,20,,24.1,,99.72,,,,-6,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 13:00,2003,1,1,13:00,-1.1,,-7,,64,,5,,22,,24.1,,99.69,,,,-7,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 14:00,2003,1,1,14:00,-0.8,,-7.2,,62,,5,,26,,24.1,,99.58,,,,-7,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 15:00,2003,1,1,15:00,-0.9,,-7.7,,60,,5,,20,,24.1,,99.58,,,,-6,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 16:00,2003,1,1,16:00,-1.2,,-8.2,,59,,5,,28,,24.1,,99.54,,,,-8,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 17:00,2003,1,1,17:00,-1.7,,-7.7,,64,,5,,30,,24.1,,99.56,,,,-9,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 18:00,2003,1,1,18:00,-2.1,,-8,,64,,3,,30,,24.1,,99.57,,,,-9,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 19:00,2003,1,1,19:00,-2.8,,-10,,58,,5,,33,,24.1,,99.62,,,,-10,,Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 20:00,2003,1,1,20:00,-3.5,,-12.3,,50,,5,,22,,24.1,,99.62,,,,-10,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 21:00,2003,1,1,21:00,-4.7,,-13.7,,49,,4,,35,,24.1,,99.65,,,,-13,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 22:00,2003,1,1,22:00,-5.7,,-13.2,,55,,3,,30,,24.1,,99.67,,,,-14,,Mostly Cloudy
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,01/01/2003 23:00,2003,1,1,23:00,-6.6,,-13.5,,58,,4,,30,,24.1,,99.74,,,,-15,,Mainly Clear
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,02/01/2003 0:00,2003,1,2,0:00,-7.3,,-13.8,,60,,3,,32,,24.1,,99.74,,,,-16,,Mainly Clear
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,02/01/2003 1:00,2003,1,2,1:00,-7.7,,-13.9,,61,,4,,28,,24.1,,99.8,,,,-16,,Clear
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,02/01/2003 2:00,2003,1,2,2:00,-8.1,,-13.8,,63,,3,,22,,24.1,,99.92,,,,-16,,Clear
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,02/01/2003 3:00,2003,1,2,3:00,-8.9,,-14.1,,66,,3,,28,,24.1,,99.92,,,,-18,,Clear
-79.63,43.68,TORONTO LESTER B. PEARSON INT'L A,6158733,02/01/2003 4:00,2003,1,2,4:00,-9.3,,-14.3,,67,,2,,20,,24.1,,99.94,,,,-17,,Clear
