Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 0:00,2019,1,1,0:00,0,,-0.1,,99,,2,,19,,,,97.52,,,,-5,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 1:00,2019,1,1,1:00,-0.3,,-0.4,,99,,1,,22,,,,97.61,,,,-6,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 2:00,2019,1,1,2:00,-0.6,,-0.7,,99,,1,,22,,,,97.8,,,,-6,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 3:00,2019,1,1,3:00,-2.5,,-2.7,,98,,35,,26,,,,98.08,,,,-9,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 4:00,2019,1,1,4:00,-4.9,,-5.5,,96,,35,,27,,,,98.37,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 5:00,2019,1,1,5:00,-6.7,,-7.5,,94,,35,,25,,,,98.61,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 6:00,2019,1,1,6:00,-7,,-7.9,,94,,36,,19,,,,98.82,,,,-14,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 7:00,2019,1,1,7:00,-8,,-9,,93,,36,,20,,,,99.06,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 8:00,2019,1,1,8:00,-8.7,,-9.8,,92,,36,,21,,,,99.35,,,,-16,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 9:00,2019,1,1,9:00,-10.2,,-11.4,,91,,36,,16,,,,99.49,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 10:00,2019,1,1,10:00,-10.1,,-11.4,,90,,1,,14,,,,99.62,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 11:00,2019,1,1,11:00,-10.2,,-11.6,,89,,3,,15,,,,99.68,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 12:00,2019,1,1,12:00,-10.4,,-11.8,,89,,3,,13,,,,99.69,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 13:00,2019,1,1,13:00,-10.8,,-12.2,,89,,2,,11,,,,99.81,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 14:00,2019,1,1,14:00,-10.7,,-12.1,,89,,36,,12,,,,99.91,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 15:00,2019,1,1,15:00,-11.1,,-12.5,,89,,36,,10,,,,99.94,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 16:00,2019,1,1,16:00,-11.4,,-12.8,,89,,1,,6,,,,99.93,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 17:00,2019,1,1,17:00,-11.6,,-13,,89,,36,,6,,,,99.97,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 18:00,2019,1,1,18:00,-11.9,,-13.3,,89,,36,,4,,,,99.98,,,,-14,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 19:00,2019,1,1,19:00,-13.4,,-15,,88,,34,,2,,,,100,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 20:00,2019,1,1,20:00,-14.5,,-16.1,,88,,30,,2,,,,100.05,,,,-16,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 21:00,2019,1,1,21:00,-15.7,,-17.4,,86,,26,,5,,,,100.06,,,,-19,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 22:00,2019,1,1,22:00,-12.5,,-13.9,,89,,31,,4,,,,100.06,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,01/01/2019 23:00,2019,1,1,23:00,-12.6,,-14,,89,,36,,3,,,,100,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 0:00,2019,1,2,0:00,-13.5,,-15,,88,,,,0,,,,99.97,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 1:00,2019,1,2,1:00,-13.1,,-14.6,,89,,2,,1,,,,100.03,,,,-14,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 2:00,2019,1,2,2:00,-13.4,,-14.9,,88,,,,0,,,,100.05,,,,,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 3:00,2019,1,2,3:00,-14.4,,-16.1,,87,,0,,1,,,,100.05,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 4:00,2019,1,2,4:00,-14.5,,-16.1,,87,,3,,4,,,,100,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 5:00,2019,1,2,5:00,-15.6,,-17.3,,87,,9,,2,,,,99.97,,,,-17,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 6:00,2019,1,2,6:00,-15.6,,-17.2,,87,,11,,4,,,,99.93,,,,-19,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 7:00,2019,1,2,7:00,-12.5,,-13.8,,90,,10,,4,,,,99.93,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 8:00,2019,1,2,8:00,-11.4,,-12.7,,90,,11,,6,,,,99.91,,,,-15,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 9:00,2019,1,2,9:00,-9.6,,-10.8,,91,,11,,7,,,,99.9,,,,-14,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 10:00,2019,1,2,10:00,-8.1,,-9.2,,92,,12,,11,,,,99.86,,,,-13,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 11:00,2019,1,2,11:00,-7.3,,-8.5,,91,,13,,13,,,,99.8,,,,-13,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 12:00,2019,1,2,12:00,-6.7,,-7.8,,92,,13,,15,,,,99.63,,,,-13,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 13:00,2019,1,2,13:00,-6.3,,-7.4,,92,,12,,13,,,,99.46,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 14:00,2019,1,2,14:00,-6.7,,-7.7,,93,,14,,12,,,,99.32,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 15:00,2019,1,2,15:00,-6.4,,-7.4,,92,,13,,15,,,,99.13,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 16:00,2019,1,2,16:00,-5.9,,-6.8,,93,,14,,13,,,,99.06,,,,-11,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 17:00,2019,1,2,17:00,-5.9,,-6.8,,94,,14,,17,,,,98.9,,,,-12,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 18:00,2019,1,2,18:00,-5.4,,-6.1,,94,,13,,16,,,,98.76,,,,-11,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 19:00,2019,1,2,19:00,-4.8,,-5.4,,95,,14,,16,,,,98.69,,,,-11,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 20:00,2019,1,2,20:00,-4.3,,-5,,95,,14,,16,,,,98.56,,,,-10,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 21:00,2019,1,2,21:00,-2.8,,-3.3,,97,,16,,9,,,,98.51,,,,-6,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 22:00,2019,1,2,22:00,-0.5,,-0.8,,98,,24,,13,,,,98.43,,,,-5,,NA
-81.63,45.23,TOBERMORY RCS,6128330,02/01/2019 23:00,2019,1,2,23:00,-0.5,,-1.1,,96,,25,,16,,,,98.36,,,,-5,,NA
-81.63,45.23,TOBERMORY RCS,6128330,03/01/2019 0:00,2019,1,3,0:00,-0.9,,-1.6,,95,,26,,18,,,,98.32,,,,-6,,NA
-81.63,45.23,TOBERMORY RCS,6128330,03/01/2019 1:00,2019,1,3,1:00,-1.2,,-2.2,,93,,27,,20,,,,98.31,,,,-7,,NA
-81.63,45.23,TOBERMORY RCS,6128330,03/01/2019 2:00,2019,1,3,2:00,-1.2,,-2.5,,91,,27,,18,,,,98.35,,,,-6,,NA
