Predicted Demand,Metric Prioritization,Date,Time
730.1182099,R2,4/4/2020,0:00:00
730.8940838,R2,4/4/2020,1:00:00
721.4328062,R2,4/4/2020,2:00:00
724.9368093,R2,4/4/2020,3:00:00
723.6322138,R2,4/4/2020,4:00:00
762.3690978,R2,4/4/2020,5:00:00
822.7378984,R2,4/4/2020,6:00:00
823.4578912,R2,4/4/2020,7:00:00
847.7807809,R2,4/4/2020,8:00:00
857.7479925,R2,4/4/2020,9:00:00
858.5797865,R2,4/4/2020,10:00:00
856.6251941,R2,4/4/2020,11:00:00
860.8730445,R2,4/4/2020,12:00:00
862.6103285,R2,4/4/2020,13:00:00
863.6883418,R2,4/4/2020,14:00:00
893.9081541,R2,4/4/2020,15:00:00
934.0480447,R2,4/4/2020,16:00:00
922.8999967,R2,4/4/2020,17:00:00
928.9315411,R2,4/4/2020,18:00:00
936.2550868,R2,4/4/2020,19:00:00
915.7806407,R2,4/4/2020,20:00:00
863.1093665,R2,4/4/2020,21:00:00
797.6559283,R2,4/4/2020,22:00:00
752.4810855,R2,4/4/2020,23:00:00
