Predicted Demand,Metric Prioritization,Date,Time
706.0871975,NRMS,4/4/2020,0:00:00
706.1601549,NRMS,4/4/2020,1:00:00
706.0754317,NRMS,4/4/2020,2:00:00
702.4502991,NRMS,4/4/2020,3:00:00
731.3339986,NRMS,4/4/2020,4:00:00
770.3347965,NRMS,4/4/2020,5:00:00
836.7904002,NRMS,4/4/2020,6:00:00
866.553678,NRMS,4/4/2020,7:00:00
899.3748923,NRMS,4/4/2020,8:00:00
906.9307202,NRMS,4/4/2020,9:00:00
910.27776,NRMS,4/4/2020,10:00:00
910.532083,NRMS,4/4/2020,11:00:00
948.1621053,NRMS,4/4/2020,12:00:00
952.0951802,NRMS,4/4/2020,13:00:00
952.0951802,NRMS,4/4/2020,14:00:00
967.2521413,NRMS,4/4/2020,15:00:00
980.1155961,NRMS,4/4/2020,16:00:00
975.8891486,NRMS,4/4/2020,17:00:00
970.6314825,NRMS,4/4/2020,18:00:00
973.2780769,NRMS,4/4/2020,19:00:00
970.3676623,NRMS,4/4/2020,20:00:00
926.4837824,NRMS,4/4/2020,21:00:00
854.3231843,NRMS,4/4/2020,22:00:00
807.2716635,NRMS,4/4/2020,23:00:00
