Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2018,7,18,15,1.318177747,0.94046407,-1.151463341,-0.385609681,1.376454976,0.865037918
2015,6,11,23,0.858467882,0.87520217,-0.104629975,-0.061182582,-0.768461365,-0.991686344
2015,1,4,1,-0.670951478,-0.196957612,1.742723024,-0.926321512,-0.978397775,-0.982583046
2017,3,6,10,-0.494139991,-0.607175268,-0.474100575,-0.061182582,0.646628871,0.126521587
2017,4,20,15,-0.299647356,0.04544373,1.126938691,0.263244517,0.296074677,0.315404892
2017,11,6,12,-0.113995295,-0.430035825,-1.028306475,1.452810545,0.217843656,0.04470253
2013,4,18,20,0.911511328,1.276096698,1.003781825,-0.818179146,0.276269355,0.218849182
2017,7,17,7,1.035279368,1.462559268,1.188517124,-0.385609681,0.470361508,0.108530045
2017,3,18,13,-0.741676073,-0.374097054,1.311673991,0.046959784,0.200018867,0.587424278
2017,4,20,23,-0.255444484,0.222583172,1.681144591,-0.277467314,-1.14674301,-1.017213345
2016,7,9,21,1.052960517,1.294742955,0.572732791,1.452810545,0.175262215,0.054666519
2019,12,11,20,-1.448922019,-1.61407315,-0.658835875,0.371386883,1.197216815,0.880530357
2014,5,25,7,0.672815821,0.371753229,-0.966728041,-0.493752047,-1.378465274,-0.333119869
2013,3,31,14,0.257308827,-0.215603869,-1.397777075,-0.385609681,-0.646658637,0.087344646
2016,7,31,17,1.441945788,1.182865412,-0.843571175,0.479529249,0.300035741,1.316312313
2019,6,28,1,1.026438794,1.108280384,0.080105325,-0.818179146,-0.643687838,-1.116167545
2018,2,2,2,-1.678776952,-1.697981307,-0.104629975,0.479529249,-0.791237485,-0.722496986
2017,1,31,5,-1.148342492,-1.203855494,-0.289365275,0.046959784,-0.479303668,-0.44502306
2018,1,10,11,-0.768197796,-0.635144653,0.387997491,-0.493752047,0.560475722,0.512770653
2016,12,1,2,-0.24660391,-0.057110684,0.511154358,1.669095278,-1.319049309,-1.518791199
2016,6,12,15,0.982235922,0.362430101,-1.644090808,1.669095278,-0.450585952,0.033448696
2017,3,17,8,-0.918487559,-1.017392923,-0.412522142,-0.818179146,0.499079224,0.087051392
2015,10,14,6,0.036294469,0.157321273,0.264840625,0.263244517,-0.137661869,-0.760457516
2014,7,29,18,0.938033051,0.735355242,-0.720414308,0.695813982,0.431741131,0.317353725
2014,2,15,14,-1.174864215,-1.287763651,-0.474100575,-0.169324948,0.206950729,0.919207573
2015,5,11,15,0.87614903,1.098957255,0.511154358,-0.385609681,0.650589936,0.284702778
2019,3,14,9,-0.317328505,-0.20628074,0.203262191,-1.034463878,0.33568532,-0.052117348
2018,6,1,0,1.150206835,1.499851782,0.942203391,-1.25074861,-0.456527548,-0.704336166
2018,1,14,23,-1.431240871,-1.660688793,-0.781992742,0.587671615,-0.331754021,-0.07304287
2015,9,23,1,0.6109318,1.061664741,1.373252424,-1.358890977,-1.383416604,-1.491088867
2016,1,4,15,-1.811385567,-2.108198962,-1.028306475,1.128383446,1.124927391,1.280686378
2019,7,8,22,0.955714199,0.530246414,-1.213041775,-0.493752047,-0.030713131,-0.514623165
