Predicted Demand,Metric Prioritization,Date,Time,
5186,NRMS,4/9/2020,15:00:00,
5298,NRMS,4/9/2020,16:00:00,
5330,NRMS,4/9/2020,17:00:00,
5339,NRMS,4/9/2020,18:00:00,
5290.258451,NRMS,4/9/2020,19:00:00,
5334,NRMS,4/9/2020,20:00:00,
5072,NRMS,4/9/2020,21:00:00,
4580.26807,NRMS,4/9/2020,22:00:00,
4582.05,NRMS,4/9/2020,23:00:00,
4289,NRMS,4/10/2020,0:00:00,
4066.860673,NRMS,4/10/2020,1:00:00,
4009.539186,NRMS,4/10/2020,2:00:00,
4002.621075,NRMS,4/10/2020,3:00:00,
4059.942562,NRMS,4/10/2020,4:00:00,
4154.819506,NRMS,4/10/2020,5:00:00,
4334,NRMS,4/10/2020,6:00:00,
4602.3,NRMS,4/10/2020,7:00:00,
4537.95,NRMS,4/10/2020,8:00:00,
4505.069639,NRMS,4/10/2020,9:00:00,
4603.706542,NRMS,4/10/2020,10:00:00,
4876,NRMS,4/10/2020,11:00:00,
4877,NRMS,4/10/2020,12:00:00,
4656.443104,NRMS,4/10/2020,13:00:00,
4663.279325,NRMS,4/10/2020,14:00:00,
4889,NRMS,4/10/2020,15:00:00,
5013,NRMS,4/10/2020,16:00:00,
5035,NRMS,4/10/2020,17:00:00,
5063,NRMS,4/10/2020,18:00:00,
5213,NRMS,4/10/2020,19:00:00,
5101,NRMS,4/10/2020,20:00:00,
4902,NRMS,4/10/2020,21:00:00,
4470.888534,NRMS,4/10/2020,22:00:00,
4538.65,NRMS,4/10/2020,23:00:00,
